"","ID","Q08post","Q10post","Q11post","Q12post","Q13post","Q15post","Q16post","Q17post","Q18post","Q19post","Q20post","Q21post","Q22post","Q24post","Q09Post","Q14Post"
"97","4362","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"98","4363","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"99","4364","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Not Sure"
"100","4367","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"101","4368","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"102","4371","volume/mass","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Disagree14"
"103","4372","volume/mass","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"104","4373","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Agree14"
"105","4374","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"106","4376","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Disagree14"
"107","4377","mass/volume","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","More dense","Disagree","Agree14"
"108","4378","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Disagree14"
"109","4379","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","I am 3","The 2 blocks will sink","Density","Same density","Agree","Agree14"
"110","4380","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Disagree14"
"111","4381",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","4382","mass/volume",NA,"Same as","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","I am 3","The 2 blocks will float","Density","Same density","Not Sure","Agree14"
"113","4383","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","I am 3","The 2 blocks will sink","Density","More dense","Agree","Agree14"
"114","4384","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"115","4390","mass/volume","Because the density can always change even if the pressure or temperature is constant","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"116","4391","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has twice the volume of the original block","Bigger than",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","I am 3","Density","More dense","Agree","Not Sure"
"117","4394","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"118","4396","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Agree14"
"119","4397","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"120","4400","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than",NA,"Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am 3","The 2 blocks will sink","Density","Same density","Agree","Not Sure"
"121","4404","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"122","4406","mass/volume","Because density is a property of the matter, and it can never change","Bigger than","it has twice the volume of the original block","Same as","Because what determines if an object will sink or float is the volume (how big it is)","Half the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","More dense","Agree","Disagree14"
"123","4407","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","I am 3","I am 3","Density","Less dense","Agree","Disagree14"
"124","4408","mass/volume",NA,"Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will sink","Density","More dense","Not Sure","Disagree14"
"125","4410","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","I am 3","I am 3","Density","Same density","Agree","Disagree14"
"126","4411","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as",NA,"The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","Same density","Disagree","Not Sure"
"127","4413","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"128","4415","mass/volume","Because density is a property of the matter, and it can never change","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Volume only","More dense","Agree","Disagree14"
"129","4417","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has the same mass as the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Disagree","Disagree14"
"130","4418","volume/mass","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"131","4419","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"132","4421","mass/volume","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Agree14"
"133","4422","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","More dense","Disagree","Agree14"
"134","4423","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"135","4426","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Agree14"
"136","4428","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"137","4429","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has twice the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","Less dense","Disagree","Agree14"
"138","4430","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"139","4431","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","I am 3","Density","Less dense","Disagree","Disagree14"
"140","4432","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"141","4433","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"142","4435","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has twice the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"143","4436","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","Less dense","Agree","Disagree14"
"144","4437","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will float","Density","Less dense","Agree","Agree14"
"145","4440","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will sink","Density","More dense","Agree","Disagree14"
"146","4447","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Disagree14"
"147","4448","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"148","4449","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"149","4450","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has twice the mass of the original block","it has twice the density of the original block","It has half the volume, but same density of the original block","The blocks will sink","I am 3","Density","Same density","Agree","Disagree14"
"150","4451","mass/volume","Because the density can always change even if the pressure or temperature is constant","Same as","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Disagree","Disagree14"
"151","4452","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Agree","Disagree14"
"152","4453","mass X volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will float","Density","More dense","Agree","Disagree14"
"153","4454","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, but same density of the original block","The blocks will float","The 2 blocks will sink","Density","Less dense","Agree","Agree14"
"154","4455","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Agree14"
"155","4456","mass/volume","Because the density can always change even if the pressure or temperature is constant","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will sink","The 2 blocks will float","Density","More dense","Disagree","Disagree14"
"156","4457","mass/volume","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","More dense","Disagree","Agree14"
"157","4458","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"158","4459","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"159","4460","mass/volume","Because density is a property of the matter, and it can never change","Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will float","Density","Less dense","Agree","Disagree14"
"160","4461","mass/volume",NA,"Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Same density","Not Sure","Disagree14"
"161","4465","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has the same volume as the original block","Same as","Because what determines if an object will sink or float is the volume (how big it is)","The same density as 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","it has the same volume, but half the density of the original block","The blocks will float","The 2 blocks will float","Density","Same density","Disagree","Agree14"
"162","4466","mass/volume",NA,"Same as","it has half the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","I am 3","Density","Less dense","Not Sure","Disagree14"
"163","4467","mass/volume","Because the density can always change even if the pressure or temperature is constant","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the weight of the object","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Volume only","Less dense","Disagree","Disagree14"
"164","4468","volume and mass","3",NA,"Same as","it has half the volume of the original block","3",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has twice the density of the original block","It has half the volume, and half the density of the original block","I am 3","I am 3","Density",NA,NA
"165","4475","volume/mass",NA,"Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am 3","The 2 blocks will float","Mass only","More dense","Not Sure","Agree14"
"166","4476","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has twice the volume of the original block","Same as","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","it has the same volume, but half the density of the original block","I am 3","I am 3","Another answer?","Less dense","Disagree","Agree14"
"167","4478","mass/volume",NA,"Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","I am 3","Density","More dense","Not Sure","Disagree14"
"168","4479","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","The blocks will sink","The 2 blocks will float","Density","Less dense","Disagree","Agree14"
"169","4482","volume/mass",NA,"Same as","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the volume (how big it is)","Half the density of 1 kg of wood","it has the same mass as the original block","it has half the density of the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will sink","Another answer?","Less dense","Not Sure","Agree14"
"170","4485","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Same as","it has half the volume of the original block","Same as",NA,"The same density as 1 kg of wood","it has half the mass of the original block","it has the same density as the original block","It has half the volume, but same density of the original block","I am 3","The 2 blocks will sink","Density","Less dense","Disagree","Not Sure"
"171","4488","mass/volume","Because density is a property of the matter, and it can never change","Bigger than","it has half the volume of the original block","Bigger than",NA,"Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","I am 3","I am 3","Density","Same density","Disagree","Not Sure"
"172","4490","mass/volume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not Sure",NA
"173","4491","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Half the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","I am 3","I am 3","Density","More dense","Disagree","Agree14"
"174","4492","mass/volume","Because the density can always change even if the pressure or temperature is constant","Bigger than","it has half the volume of the original block","Bigger than","Because what determines if an object will sink or float is the volume (how big it is)","Twice the density of 1 kg of wood","it has twice the mass of the original block","it has half the density of the original block","it has the same volume, but half the density of the original block","I am 3","I am 3","Another answer?","More dense","Disagree","Agree14"
"175","4494","mass/volume",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Agree",NA
"176","4495","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has half the volume of the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","Twice the density of 1 kg of wood","it has half the mass of the original block","it has half the density of the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","Same density","Disagree","Disagree14"
"177","4498","mass/volume","Because density is a property of the matter, and it can change only if we changed the temperature or pressure","Smaller than","it has the same volume as the original block","Smaller than","Because what determines if an object will sink or float is the density of the object compared to the density of water.","The same density as 1 kg of wood","it has the same mass as the original block","it has the same density as the original block","It has half the volume, and half the density of the original block","The blocks will float","The 2 blocks will sink","Density","Same density","Disagree","Disagree14"
